origin	site	pop	sample_id	raw_sample_id
CN	SD1	SD1P3	SD1P3-1	SD1P3S1
CN	SD1	SD1P3	SD1P3-2	SD1P3S2
CN	SD1	SD1P3	SD1P3-3	SD1P3S3
CN	SD1	SD1P3	SD1P3-4	SD1P3S4
CN	SD1	SD1P3	SD1P3-5	SD1P3S5
CN	SD2	SD2P1	SD2P1-1	SD2P1S1
CN	SD2	SD2P1	SD2P1-2	SD2P1S2
CN	SD2	SD2P1	SD2P1-3	SD2P1S3
CN	SD2	SD2P1	SD2P1-4	SD2P1S4
CN	SD2	SD2P1	SD2P1-5	SD2P1S5
CN	SD2	SD2P2	SD2P2-1	SD2P2S1
CN	SD2	SD2P2	SD2P2-2	SD2P2S2
CN	SD2	SD2P2	SD2P2-3	SD2P2S3
CN	SD2	SD2P2	SD2P2-4	SD2P2S4
CN	SD2	SD2P2	SD2P2-5	SD2P2S5
CN	SD2	SD2P3	SD2P3-1	SD2P3S1
CN	SD2	SD2P3	SD2P3-2	SD2P3S2
CN	SD2	SD2P3	SD2P3-3	SD2P3S3
CN	SD2	SD2P3	SD2P3-4	SD2P3S4
CN	SD2	SD2P3	SD2P3-5	SD2P3S5
CN	SD3	SD3P1	SD3P1-1	SD3P1S1
CN	SD3	SD3P1	SD3P1-2	SD3P1S2
CN	SD3	SD3P1	SD3P1-3	SD3P1S3
CN	SD3	SD3P1	SD3P1-4	SD3P1S4
CN	SD3	SD3P1	SD3P1-5	SD3P1S5
CN	SD3	SD3P2	SD3P2-1	SD3P2S1
CN	SD3	SD3P2	SD3P2-2	SD3P2S2
CN	SD3	SD3P2	SD3P2-3	SD3P2S3
CN	SD3	SD3P2	SD3P2-5	SD3P2S5
CN	SD3	SD3P2	SD3P2-6	SD3P2S6
CN	SD3	SD3P3	SD3P3-1	SD3P3S1
CN	SD3	SD3P3	SD3P3-2	SD3P3S2
CN	SD3	SD3P3	SD3P3-3	SD3P3S3
CN	SD3	SD3P3	SD3P3-4	SD3P3S4
CN	SD3	SD3P3	SD3P3-5	SD3P3S5
